"item_id","item_name","item_price"
7,"青い宝石",1200
40,"赤いサンゴ",250
6,"赤い宝石",1200
78,"麻の糸",60
106,"あまつゆのいと",1000
17,"あやかしそう",290
18,"暗黒の樹木",390
20,"イエローアイ",0
43,"いかずちのたま",1350
76,"ウェナールシェル",0
123,"うしのふん",0
122,"うまのふん",0
107,"うるわしキノコ",160
89,"エルトナスイセン",0
116,"おうごんのかけら",0
110,"大きなうろこ",0
47,"大きな貝がら",0
68,"大きな化石",0
23,"大きなこうら",0
67,"大きなホネ",0
87,"オグリドホーン",0
30,"かがみ石",0
108,"かがやきそう",360
95,"かがやきの樹液",1000
3,"かぜきりのはね",0
84,"カチコチくるみ",220
115,"ガマのあぶら",280
28,"黄色の宝石",1200
33,"きよめの水",100
41,"きれいな枝",360
5,"ぎんのこうせき",240
31,"グリーンアイ",0
4,"けものの皮",120
86,"げんこつダケ",260
51,"げんませき",0
37,"こうもりのはね",240
39,"氷のけっしょう",240
54,"氷の樹木",340
118,"ゴールドストーン",0
83,"コットン草",120
94,"さえずりのみつ",210
26,"さくらの花びら",160
46,"さざなみのしずく",300
100,"さとりそう",270
42,"サバンナウッド",280
81,"サバンナの水",140
105,"サンドフルーツ",0
97,"しおかぜ草",230
44,"しなやかな枝",240
88,"じょうぶな枝",120
59,"シルク草",240
64,"スライムおしゃれ花",0
66,"スライムゼリー",350
35,"するどいキバ",120
25,"するどい爪",110
19,"せいじゃのはい",1300
82,"せいれいせき",0
73,"小さなうろこ",230
112,"小さな貝がら",130
79,"小さな化石",150
75,"小さなこうら",250
74,"小さなホネ",130
56,"ちょうのはね",200
103,"つきのめぐみ",0
113,"つけもの石",110
2,"てっこうせき",120
124,"天使のすず",50
126,"天使のソーマ",0
1,"どうのこうせき",60
12,"ときのすいしょう",6000
34,"どくがのこな",0
36,"どくどくヘドロ",240
61,"とげウニ",0
58,"ドラゴンのツノ",0
21,"ドラゴンのホネ",0
32,"ドラゴンの皮",0
49,"ドワチャカオイル",0
62,"なないろのまゆ",320
96,"にじいろの布きれ",0
45,"ネコずな",210
48,"パープルアイ",0
92,"花のみつ",180
55,"ひかりの石",310
101,"ビッグサボテン",0
90,"ピンクパール",0
104,"プクランサフラン",0
80,"ふさふさの毛皮",160
121,"ふしぎなドロドロ",160
85,"ふしぎな海草",160
77,"ぶどうエキス",680
15,"プラチナこうせき",480
24,"ブラックパール",0
53,"ブルーアイ",0
127,"ブルーオーブ",0
38,"ヘビーメタル",0
60,"へびのぬけがら",0
11,"ホカホカストーン",220
93,"ほしのカケラ",270
98,"炎の樹木",320
65,"ホワイトウッド",310
91,"ホワイトパール",0
9,"まじゅうのツノ",0
14,"まじゅうのホネ",0
52,"まじゅうの皮",0
71,"まだらくも糸",50
27,"まりょくの土",160
119,"まんげつそう",30
72,"まんねん雪",170
8,"みがきずな",180
99,"みかわしそう",310
70,"水の樹木",370
69,"緑のコケ",140
50,"緑の宝石",1200
125,"めざめの花",50
13,"メタルのカケラ",0
114,"ヤシの実",270
63,"やわらかい枝",60
109,"やわらかウール",0
102,"ゆめみの花",0
57,"ようがんのカケラ",200
10,"ようせいのひだね",1000
111,"ようせいの粉",100
117,"よごれたほうたい",0
29,"よるのとばり",720
22,"レッドアイ",0
16,"レッドベリー",120
